gate.rosterWeek.count	6	6
gate.rosterShift.count	210	210
gate.rosterShift.orphan	0	0
gate.weeklyReportPayload.total	19	19
gate.weeklyReportPayload.group.api_db_first_bridge.IMPORTED	13	13
gate.weeklyReportPayload.group.legacy_weekly_workspace.IMPORTED	3	3
gate.weeklyReportPayload.group.legacy_weekly_workspace.NEEDS_REVIEW	3	3
gate.weeklyReportPayload.sharedSharedDraft	13	13
gate.weeklyReportPayload.sharedDistinctSha16	13	13
gate.weeklyReport.reviewItem.orphan	0	0
gate.weeklyReport.planItem.orphan	0	0
weeklyCorrection.targetPayloadLinks	0	0
weeklyCorrection.finalSha.WeeklyReport.completedSummary.wr_b3f18d418c27145ced5e627c	9855315c7448f0c200cd7b0d7ddbdcd394f69825290f23690b959527a41fadf1	9855315c7448f0c200cd7b0d7ddbdcd394f69825290f23690b959527a41fadf1
weeklyCorrection.finalSha.WeeklyReport.focusSummary.wr_b3f18d418c27145ced5e627c	3758965d005dfb52be4a8baf7ed7bd9c9a632422cd0c6904e28e384e9f78ed4f	3758965d005dfb52be4a8baf7ed7bd9c9a632422cd0c6904e28e384e9f78ed4f
weeklyCorrection.finalSha.WeeklyReportReviewItem.description.wri_7f9a9b2dbc48b1a374f8281c	480fadca9a11169fc70c56621931f834825f9870ad9a848688dedc1205a87b57	480fadca9a11169fc70c56621931f834825f9870ad9a848688dedc1205a87b57
weeklyCorrection.finalSha.WeeklyReportPlanItem.description.wpi_4f5bf9170135688f49982adb	3758965d005dfb52be4a8baf7ed7bd9c9a632422cd0c6904e28e384e9f78ed4f	3758965d005dfb52be4a8baf7ed7bd9c9a632422cd0c6904e28e384e9f78ed4f
weeklyCorrection.finalSha.WeeklyReport.completedSummary.wr_b361a1934ab724cd56c5da14	7a578b1b5427ab49956404be36665c477f4b90d4508c572cbd39aa7aa5ae2df1	7a578b1b5427ab49956404be36665c477f4b90d4508c572cbd39aa7aa5ae2df1
weeklyCorrection.finalSha.WeeklyReport.focusSummary.wr_b361a1934ab724cd56c5da14	4d57c379f590c1a0938cb84a75eba827688061a8ad75d8bcc300ccfeb5b82cdc	4d57c379f590c1a0938cb84a75eba827688061a8ad75d8bcc300ccfeb5b82cdc
weeklyCorrection.finalSha.WeeklyReportReviewItem.description.wri_5d12854bc0e9ce932fc43ddf	ee332a2387a2106c9de5b4a931c3c1278d91bb873b28d07900610e4a8ae3654e	ee332a2387a2106c9de5b4a931c3c1278d91bb873b28d07900610e4a8ae3654e
weeklyCorrection.finalSha.WeeklyReportPlanItem.description.wpi_aab34de461e592a3df8daf1c	4d57c379f590c1a0938cb84a75eba827688061a8ad75d8bcc300ccfeb5b82cdc	4d57c379f590c1a0938cb84a75eba827688061a8ad75d8bcc300ccfeb5b82cdc
weeklyCorrection.finalSha.WeeklyReport.completedSummary.wr_6bf6e9ba0d49a18000a3fb7a	ce9ce54b54eb94efbaa9deaf0c920a9ff1315560d7f4998153678cb17bbfa622	ce9ce54b54eb94efbaa9deaf0c920a9ff1315560d7f4998153678cb17bbfa622
weeklyCorrection.finalSha.WeeklyReport.focusSummary.wr_6bf6e9ba0d49a18000a3fb7a	117b721758dcc41a3310f6ed42ffdb56f38b6eaf790a0a471fa7593d2c59daaa	117b721758dcc41a3310f6ed42ffdb56f38b6eaf790a0a471fa7593d2c59daaa
weeklyCorrection.finalSha.WeeklyReportReviewItem.description.wri_c0dc353f8490b81a8c2f2314	0f7b5ccb00a3bc174c6cbc6fb1d6bd849e3414a64b0ac050299898c76388924c	0f7b5ccb00a3bc174c6cbc6fb1d6bd849e3414a64b0ac050299898c76388924c
weeklyCorrection.finalSha.WeeklyReportPlanItem.description.wpi_30251efba4234d81299d5bf2	117b721758dcc41a3310f6ed42ffdb56f38b6eaf790a0a471fa7593d2c59daaa	117b721758dcc41a3310f6ed42ffdb56f38b6eaf790a0a471fa7593d2c59daaa
archive.EmployeeLaunchEvidenceArchive.tableExists	0	0
archive.FileRecord.column.legacyAttachmentId	0	0
archive.FileRecord.column.sourceFile	0	0
archive.FileRecord.column.storageKey	0	0
archive.FileRecord.count	0	0
archive.Notification.count	214	NULL
archive.AuditLog.count	27	NULL
payroll.SalarySlip.column.loginAccount	1	NULL
payroll.SalarySlip.column.publishBatchId	1	NULL
payroll.SalarySlip.column.userId	1	NULL
payroll.SalarySlip.column.wecomUserId	1	NULL
payroll.SalarySlip.count	1	NULL
payroll.SalaryNotifyLog.count	1	NULL
payroll.PayrollDraftBatch.count	1	NULL
